
Keyword: common sense gun safety measures	score: 23.5
Keyword: universal health care coverage	score: 16.0
Keyword: important substantive conversations	score: 9.0
Keyword: combat climate change	score: 9.0
Keyword: american presidency projectpromote	score: 8.5
Keyword: great public servant	score: 8.33333333333
Keyword: good paying jobs	score: 8.0
Keyword: clean energy superpower	score: 8.0
Keyword: education system work	score: 8.0
Keyword: find ways forward	score: 8.0
Keyword: make college affordable	score: 7.5
Keyword: democratic party stands	score: 7.0
Keyword: gun lobby	score: 5.5
Keyword: democratic party	score: 4.5
Keyword: american reformers	score: 4.5
Keyword: campaign stands	score: 4.16666666667
Keyword: big sigh	score: 4.0
Keyword: senator sanders	score: 4.0
Keyword: 21st century	score: 4.0
Keyword: young organizers	score: 4.0
Keyword: republican vision	score: 4.0
Keyword: real contest	score: 4.0
Keyword: long line	score: 4.0
Keyword: great campaign	score: 4.0
Keyword: defense fund	score: 4.0
Keyword: deeply grateful	score: 4.0
Keyword: raise incomes	score: 4.0
Keyword: inspires generations	score: 4.0
Keyword: ve made	score: 4.0
Keyword: finally began	score: 4.0
Keyword: entire life	score: 4.0
Keyword: incredible honor	score: 4.0
Keyword: student debt	score: 4.0
Keyword: des moines	score: 4.0
Keyword: white house	score: 4.0
Keyword: status quo	score: 4.0
Keyword: clear idea	score: 4.0
Keyword: push forward	score: 4.0
Keyword: served maryland	score: 4.0
Keyword: god bless	score: 4.0
Keyword: great goals	score: 3.83333333333
Keyword: workers rights	score: 3.66666666667
Keyword: voting rights	score: 3.66666666667
Keyword: gay rights	score: 3.66666666667
Keyword: immigrant rights	score: 3.66666666667
Keyword: brings people	score: 3.5
Keyword: unbelievable night	score: 3.5
Keyword: young people	score: 3.5
Keyword: single man	score: 3.5
Keyword: hardworking americans	score: 3.33333333333
Keyword: esteemed friends	score: 3.33333333333
Keyword: united states	score: 3.33333333333
